student_id,name,branch,cgpa,shortlisted_companies
S116,Student 116,ISE,8.04,"['C027', 'C031', 'C025', 'C016', 'C012', 'C024', 'C023', 'C013']"
S117,Student 117,CSE,7.77,"['C024', 'C027', 'C035', 'C032', 'C003', 'C034', 'C030', 'C006']"
S118,Student 118,EEE,6.87,[]
S119,Student 119,CIVIL,8.71,"['C019', 'C020', 'C011', 'C023', 'C017', 'C002', 'C012', 'C005']"
S120,Student 120,ECE,8.4,"['C015', 'C003', 'C016', 'C001', 'C032']"
S121,Student 121,ME,8.43,"['C027', 'C002', 'C015', 'C018', 'C013', 'C020', 'C017', 'C023']"
S122,Student 122,EEE,7.07,['C006']
S123,Student 123,ECE,8.92,"['C016', 'C013', 'C023']"
S124,Student 124,EEE,6.68,[]
S125,Student 125,CSE,8.27,['C031']
S126,Student 126,ME,9.55,"['C013', 'C020', 'C031', 'C001']"
S127,Student 127,ME,7.01,"['C001', 'C008', 'C031', 'C027']"
S128,Student 128,CSE,7.35,"['C032', 'C024', 'C034']"
S129,Student 129,CIVIL,7.88,"['C023', 'C033', 'C031']"
S130,Student 130,ISE,7.4,"['C033', 'C012', 'C027', 'C003', 'C023', 'C024', 'C031', 'C001']"
S131,Student 131,ECE,6.56,['C023']
S132,Student 132,ME,7.85,"['C035', 'C001', 'C015', 'C031', 'C027']"
S133,Student 133,ME,6.95,"['C023', 'C008', 'C031', 'C013', 'C027', 'C001']"
S134,Student 134,ECE,8.18,"['C023', 'C015', 'C012', 'C025', 'C003', 'C013', 'C032']"
S135,Student 135,ISE,7.06,"['C001', 'C013', 'C023', 'C027']"
S136,Student 136,EEE,9.04,"['C030', 'C035', 'C005', 'C017', 'C002', 'C034', 'C007']"
S137,Student 137,ME,7.17,"['C003', 'C027', 'C013', 'C001', 'C023', 'C015']"
S138,Student 138,CIVIL,7.54,"['C023', 'C031']"
S139,Student 139,ISE,8.45,"['C023', 'C031']"
S140,Student 140,ECE,6.82,"['C023', 'C008']"
S141,Student 141,CIVIL,7.98,"['C024', 'C031']"
S142,Student 142,CIVIL,8.85,"['C020', 'C031', 'C024', 'C017', 'C002', 'C019', 'C005']"
S143,Student 143,ISE,6.51,['C023']
S144,Student 144,CIVIL,7.95,"['C031', 'C006']"
S145,Student 145,CIVIL,8.01,"['C031', 'C012']"
S146,Student 146,CIVIL,8.43,"['C002', 'C033', 'C012', 'C031', 'C009']"
S147,Student 147,ECE,6.81,"['C008', 'C001']"
S148,Student 148,ISE,6.74,"['C027', 'C023', 'C031']"
S149,Student 149,ISE,8.22,"['C030', 'C024']"
S150,Student 150,ME,8.04,"['C033', 'C013', 'C008', 'C018']"
S151,Student 151,CIVIL,8.0,"['C031', 'C020', 'C023', 'C006', 'C017']"
S152,Student 152,ECE,8.08,"['C003', 'C023', 'C015']"
S153,Student 153,ME,7.26,"['C024', 'C015', 'C027', 'C033', 'C008']"
S154,Student 154,ISE,7.99,"['C025', 'C003', 'C013', 'C024', 'C023', 'C016', 'C027']"
S155,Student 155,ECE,8.03,['C016']
S156,Student 156,ECE,7.23,['C001']
S157,Student 157,ME,9.29,"['C020', 'C017', 'C024', 'C033', 'C015', 'C035', 'C008', 'C023']"
S158,Student 158,CIVIL,8.18,"['C008', 'C006', 'C012']"
S159,Student 159,EEE,6.85,[]
S160,Student 160,CSE,8.33,"['C032', 'C003', 'C002', 'C012', 'C016', 'C024']"
S161,Student 161,ISE,7.02,"['C013', 'C023']"
S162,Student 162,ME,8.43,"['C013', 'C018', 'C031', 'C025', 'C008']"
S163,Student 163,CIVIL,8.73,"['C007', 'C012', 'C005', 'C006', 'C033', 'C020']"
S164,Student 164,CIVIL,7.14,"['C023', 'C006', 'C008', 'C031']"
S165,Student 165,ECE,8.57,"['C022', 'C015']"
S166,Student 166,CIVIL,8.13,"['C024', 'C023', 'C006', 'C031', 'C008']"
S167,Student 167,EEE,8.46,['C034']
S168,Student 168,ME,9.32,"['C035', 'C017', 'C003', 'C028', 'C020', 'C023']"
S169,Student 169,EEE,7.6,['C018']
S170,Student 170,CSE,7.2,['C027']
S171,Student 171,EEE,7.09,['C006']
S172,Student 172,ISE,7.15,"['C003', 'C023', 'C031', 'C013', 'C027']"
S173,Student 173,CIVIL,7.74,"['C024', 'C023', 'C033', 'C008', 'C031', 'C006']"
S174,Student 174,EEE,8.07,"['C018', 'C004', 'C020', 'C016', 'C006', 'C017', 'C035']"
S175,Student 175,ISE,8.02,"['C003', 'C031', 'C023', 'C027', 'C033', 'C001']"
S176,Student 176,EEE,8.46,"['C006', 'C004', 'C020', 'C034', 'C017']"
S177,Student 177,ISE,7.81,['C001']
S178,Student 178,ECE,8.96,"['C010', 'C025', 'C016', 'C008']"
S179,Student 179,CSE,7.59,"['C035', 'C012', 'C034', 'C006']"
S180,Student 180,ISE,9.98,['C022']
S181,Student 181,ISE,8.3,"['C025', 'C013', 'C009']"
S182,Student 182,CSE,7.11,"['C034', 'C001', 'C003', 'C032', 'C031', 'C027']"
S183,Student 183,ME,6.94,"['C001', 'C008', 'C013']"
S184,Student 184,CSE,8.19,"['C032', 'C024', 'C027']"
S185,Student 185,CSE,7.62,"['C031', 'C035']"
S186,Student 186,ECE,8.37,"['C023', 'C025']"
S187,Student 187,ISE,8.18,['C033']
S188,Student 188,CIVIL,7.74,"['C012', 'C023', 'C006', 'C024', 'C008']"
S189,Student 189,EEE,7.12,"['C006', 'C034']"
S190,Student 190,CIVIL,6.59,"['C023', 'C031']"
S191,Student 191,ECE,7.44,"['C003', 'C032', 'C008']"
S192,Student 192,ME,8.49,"['C025', 'C033', 'C020', 'C017', 'C018', 'C031']"
S193,Student 193,EEE,7.97,"['C006', 'C034']"
S194,Student 194,CIVIL,6.8,"['C031', 'C008', 'C023']"
S195,Student 195,EEE,7.94,"['C034', 'C016', 'C017', 'C030']"
S196,Student 196,EEE,8.11,"['C020', 'C030']"
S197,Student 197,ECE,7.09,"['C008', 'C032', 'C003', 'C023', 'C013', 'C001']"
S198,Student 198,CSE,7.92,"['C003', 'C025']"
S199,Student 199,CSE,7.85,"['C035', 'C006', 'C030', 'C001', 'C032', 'C024']"
S200,Student 200,CIVIL,6.89,['C031']
S201,Student 201,ECE,8.09,"['C001', 'C013', 'C025', 'C008', 'C032', 'C023', 'C003']"
S202,Student 202,ISE,8.25,"['C013', 'C003', 'C023', 'C027', 'C031', 'C033', 'C024', 'C012']"
S203,Student 203,ME,8.67,"['C027', 'C001', 'C018', 'C033']"
S204,Student 204,ISE,8.64,"['C024', 'C033', 'C014', 'C031', 'C001']"
S205,Student 205,ISE,6.7,['C031']
S206,Student 206,CSE,7.05,"['C001', 'C031']"
S207,Student 207,CIVIL,8.21,"['C023', 'C033', 'C024', 'C008']"
S208,Student 208,ISE,8.21,"['C016', 'C033', 'C023', 'C030', 'C003', 'C001']"
S209,Student 209,ISE,8.21,"['C034', 'C030', 'C001']"
S210,Student 210,CIVIL,10.0,"['C017', 'C024']"
S211,Student 211,CIVIL,8.26,"['C023', 'C031', 'C033', 'C020', 'C008', 'C006', 'C012']"
S212,Student 212,CSE,8.71,"['C031', 'C006', 'C007', 'C025', 'C035', 'C024']"
S213,Student 213,EEE,8.56,"['C002', 'C006', 'C018', 'C035', 'C020']"
S214,Student 214,ISE,8.32,"['C012', 'C033', 'C009', 'C013', 'C030']"
S215,Student 215,ECE,7.55,"['C001', 'C012']"
S216,Student 216,CIVIL,8.41,"['C006', 'C033', 'C017', 'C022', 'C008', 'C012', 'C002']"
S217,Student 217,EEE,7.18,['C034']
S218,Student 218,CSE,7.61,"['C003', 'C027', 'C030', 'C032', 'C034', 'C031', 'C012', 'C006']"
S219,Student 219,CSE,7.41,"['C001', 'C027', 'C006', 'C031', 'C024', 'C012', 'C032']"
S220,Student 220,CSE,7.87,"['C003', 'C012', 'C025', 'C031', 'C032', 'C035', 'C034']"
S221,Student 221,ECE,9.65,"['C013', 'C011', 'C025', 'C007', 'C003', 'C015']"
S222,Student 222,CIVIL,6.31,[]
S223,Student 223,CSE,8.35,"['C034', 'C016', 'C035', 'C031']"
S224,Student 224,ISE,6.51,['C023']
S225,Student 225,ISE,7.42,"['C013', 'C012', 'C033', 'C027', 'C024']"
S226,Student 226,CSE,8.67,"['C034', 'C032', 'C030']"
S227,Student 227,ME,7.85,"['C030', 'C027', 'C035', 'C031', 'C033', 'C018', 'C025', 'C003']"
S228,Student 228,EEE,6.94,['C006']
S229,Student 229,EEE,7.23,"['C034', 'C006']"
S230,Student 230,ECE,8.34,"['C013', 'C023']"
S231,Student 231,EEE,7.22,['C006']
S232,Student 232,ECE,7.97,"['C003', 'C032', 'C016', 'C012', 'C013']"
S233,Student 233,ME,7.84,['C024']
S234,Student 234,ME,7.28,"['C023', 'C027', 'C008', 'C001']"
S235,Student 235,EEE,9.52,"['C035', 'C010']"
S236,Student 236,CIVIL,8.31,"['C024', 'C008']"
S237,Student 237,CSE,6.18,[]
S238,Student 238,ISE,7.95,"['C025', 'C027', 'C033', 'C030', 'C012', 'C023', 'C031', 'C024']"
S239,Student 239,EEE,7.27,"['C034', 'C006']"
S240,Student 240,CIVIL,8.48,"['C005', 'C012', 'C033', 'C022', 'C017', 'C009']"
S241,Student 241,ECE,7.17,"['C015', 'C001', 'C013']"
S242,Student 242,CIVIL,7.71,"['C012', 'C033']"
S243,Student 243,CIVIL,8.2,"['C008', 'C006', 'C017', 'C024', 'C012', 'C033', 'C031']"
S244,Student 244,CIVIL,8.49,"['C024', 'C033']"
S245,Student 245,EEE,6.84,[]
S246,Student 246,ME,7.53,"['C001', 'C018', 'C015', 'C008', 'C013', 'C027']"
S247,Student 247,EEE,7.42,"['C018', 'C006']"
S248,Student 248,ISE,7.28,"['C023', 'C003']"
S249,Student 249,ME,9.21,['C023']
S250,Student 250,ME,8.12,"['C027', 'C013', 'C004']"
S251,Student 251,ISE,6.79,"['C031', 'C001']"
S252,Student 252,EEE,8.53,"['C035', 'C006', 'C020', 'C016', 'C018', 'C017']"
S253,Student 253,EEE,9.5,"['C018', 'C006', 'C007', 'C017']"
S254,Student 254,ISE,8.63,"['C033', 'C022', 'C030', 'C013', 'C016', 'C023']"
S255,Student 255,ME,6.58,"['C023', 'C031']"
S256,Student 256,ME,7.41,"['C015', 'C001', 'C024']"
S257,Student 257,ECE,8.81,"['C023', 'C015']"
S258,Student 258,CSE,7.23,"['C003', 'C032', 'C034', 'C006', 'C012']"
S259,Student 259,ME,8.16,"['C030', 'C004', 'C031']"
S260,Student 260,ISE,8.42,"['C034', 'C016', 'C001', 'C022', 'C031', 'C030', 'C024', 'C033']"
S261,Student 261,ISE,7.06,"['C001', 'C013', 'C003', 'C031']"
S262,Student 262,ECE,7.75,"['C015', 'C008']"
S263,Student 263,ISE,6.0,[]
S264,Student 264,CSE,6.98,"['C031', 'C027', 'C001']"
S265,Student 265,CIVIL,7.6,"['C023', 'C024', 'C006', 'C031']"
S266,Student 266,CSE,6.8,"['C001', 'C031']"
S267,Student 267,ME,9.11,"['C004', 'C020', 'C017', 'C033', 'C035', 'C001', 'C029']"
S268,Student 268,EEE,6.66,[]
S269,Student 269,CIVIL,7.45,"['C024', 'C023', 'C006', 'C033', 'C008', 'C031', 'C012']"
S270,Student 270,CIVIL,7.9,"['C023', 'C017', 'C006']"
S271,Student 271,ME,8.95,"['C017', 'C033', 'C027', 'C013', 'C003', 'C018']"
S272,Student 272,ECE,6.65,['C023']
S273,Student 273,EEE,8.73,"['C002', 'C030', 'C016', 'C010', 'C007', 'C035', 'C005', 'C017']"
S274,Student 274,ECE,7.81,"['C003', 'C015', 'C032', 'C001']"
S275,Student 275,ECE,7.01,"['C008', 'C013', 'C023']"
S276,Student 276,CIVIL,8.17,"['C012', 'C033', 'C006', 'C023', 'C017', 'C024', 'C008', 'C020']"
S277,Student 277,CSE,7.96,"['C001', 'C024', 'C016', 'C030']"
S278,Student 278,EEE,7.32,"['C034', 'C006']"
S279,Student 279,CIVIL,7.86,"['C012', 'C033']"
S280,Student 280,CSE,7.49,"['C024', 'C003', 'C027', 'C012', 'C031', 'C032']"
S281,Student 281,EEE,7.89,"['C006', 'C018', 'C034']"
S282,Student 282,ECE,8.33,"['C003', 'C016', 'C032', 'C012', 'C013']"
S283,Student 283,ISE,9.07,"['C024', 'C012', 'C009', 'C034', 'C030']"
S284,Student 284,ECE,6.81,"['C008', 'C023']"
S285,Student 285,ISE,9.51,"['C025', 'C029', 'C003', 'C034', 'C023', 'C016', 'C013', 'C024']"
S286,Student 286,CSE,6.24,[]
S287,Student 287,CSE,7.68,"['C027', 'C032', 'C006', 'C001', 'C003', 'C024', 'C012']"
S288,Student 288,CSE,8.27,"['C002', 'C006', 'C031']"
S289,Student 289,ECE,8.02,"['C016', 'C001', 'C008', 'C015', 'C012', 'C023']"
S290,Student 290,ECE,7.3,"['C003', 'C013', 'C032', 'C023', 'C008', 'C015', 'C012', 'C001']"
S291,Student 291,ISE,7.63,"['C001', 'C012']"
S292,Student 292,EEE,7.41,"['C006', 'C018', 'C034', 'C035']"
S293,Student 293,ISE,7.33,"['C031', 'C013', 'C003', 'C034', 'C001']"
S294,Student 294,EEE,8.48,"['C020', 'C004', 'C017']"
S295,Student 295,CIVIL,8.09,"['C008', 'C020', 'C012', 'C033', 'C023', 'C024']"
S296,Student 296,ME,7.25,"['C003', 'C013', 'C008', 'C033']"
S297,Student 297,EEE,8.52,['C017']
S298,Student 298,ME,8.05,"['C031', 'C013', 'C023', 'C003', 'C030', 'C033']"
S299,Student 299,EEE,8.45,"['C030', 'C018', 'C034', 'C004', 'C020', 'C005', 'C002', 'C006']"
S300,Student 300,EEE,8.3,"['C006', 'C034', 'C035', 'C020', 'C004', 'C016']"
S301,Student 301,ME,7.14,"['C001', 'C031', 'C023', 'C003', 'C013', 'C027', 'C008']"
S302,Student 302,ECE,7.35,"['C015', 'C013', 'C008', 'C001']"
S303,Student 303,ECE,8.4,"['C032', 'C023', 'C013', 'C008']"
S304,Student 304,CIVIL,8.29,"['C031', 'C024', 'C006', 'C008', 'C012']"
S305,Student 305,ME,7.78,"['C008', 'C031', 'C030']"
S306,Student 306,CIVIL,7.89,"['C012', 'C024', 'C006', 'C031', 'C023']"
S307,Student 307,CSE,8.82,"['C014', 'C030', 'C001', 'C016', 'C025']"
S308,Student 308,ME,7.33,"['C015', 'C027', 'C013', 'C024', 'C023']"
S309,Student 309,EEE,8.24,"['C030', 'C004', 'C002', 'C034', 'C016']"
S310,Student 310,EEE,7.64,"['C034', 'C018', 'C035', 'C006']"
S311,Student 311,ECE,7.63,"['C015', 'C012', 'C003', 'C008', 'C001', 'C032']"
S312,Student 312,ISE,8.68,"['C012', 'C022', 'C019', 'C034', 'C009', 'C003', 'C001', 'C013']"
S313,Student 313,EEE,8.46,"['C006', 'C005', 'C017', 'C030', 'C004', 'C018', 'C035']"
S314,Student 314,ME,8.45,"['C031', 'C020', 'C035', 'C001', 'C002', 'C015', 'C018', 'C017']"
S315,Student 315,ISE,8.84,"['C025', 'C003', 'C033', 'C013']"
S316,Student 316,EEE,7.82,"['C035', 'C030', 'C018', 'C034', 'C006']"
S317,Student 317,CSE,8.35,"['C003', 'C012', 'C032', 'C016', 'C024', 'C031', 'C001']"
S318,Student 318,EEE,7.55,['C018']
S319,Student 319,ECE,8.06,"['C003', 'C016', 'C023', 'C025', 'C013']"
S320,Student 320,ECE,7.7,"['C008', 'C001']"
S321,Student 321,EEE,7.88,"['C035', 'C016', 'C030']"
S322,Student 322,ECE,8.28,"['C012', 'C025', 'C016']"
S323,Student 323,ME,7.15,['C001']
S324,Student 324,CSE,9.47,"['C024', 'C031', 'C032']"
S325,Student 325,EEE,7.0,['C006']
S326,Student 326,ECE,6.83,"['C008', 'C001', 'C023']"
S327,Student 327,ME,8.73,"['C023', 'C033', 'C031', 'C024', 'C020']"
S328,Student 328,ECE,8.43,"['C001', 'C015', 'C025', 'C003', 'C012', 'C013', 'C008', 'C032']"
S329,Student 329,ME,8.3,"['C018', 'C017', 'C002', 'C020', 'C033', 'C003', 'C035', 'C023']"
S330,Student 330,CIVIL,8.3,"['C008', 'C009', 'C002', 'C006', 'C023', 'C024', 'C031']"
S331,Student 331,ECE,7.79,"['C008', 'C016', 'C015', 'C003', 'C012', 'C013', 'C032']"
S332,Student 332,CIVIL,7.08,['C008']
S333,Student 333,ME,7.86,"['C024', 'C015', 'C027', 'C023']"
S334,Student 334,ME,7.26,"['C023', 'C008', 'C027', 'C015', 'C031', 'C024', 'C033']"
S335,Student 335,CIVIL,8.58,"['C023', 'C020', 'C008', 'C024', 'C009']"
S336,Student 336,ME,7.68,"['C013', 'C015', 'C033', 'C035', 'C024']"
S337,Student 337,ECE,7.14,"['C008', 'C023', 'C032', 'C003']"
S338,Student 338,CSE,7.54,"['C031', 'C027', 'C006', 'C032', 'C001', 'C035', 'C034']"
S339,Student 339,ECE,8.13,"['C013', 'C023', 'C012', 'C003', 'C032', 'C008', 'C015', 'C001']"
S340,Student 340,CSE,7.35,"['C012', 'C001', 'C027', 'C024']"
S341,Student 341,ISE,7.14,"['C003', 'C001', 'C031', 'C023', 'C034', 'C013']"
S342,Student 342,CSE,7.99,"['C001', 'C030', 'C006']"
S343,Student 343,EEE,8.0,"['C034', 'C017', 'C030', 'C016', 'C020', 'C018', 'C035', 'C004']"
S344,Student 344,CSE,7.39,"['C034', 'C001', 'C006', 'C012']"
S345,Student 345,ISE,7.42,['C027']
S346,Student 346,EEE,7.99,"['C018', 'C004', 'C034']"
S347,Student 347,ECE,6.64,['C023']
S348,Student 348,ECE,6.67,['C023']
S349,Student 349,ISE,7.23,"['C023', 'C013', 'C031', 'C001', 'C012', 'C003', 'C034', 'C033']"
S350,Student 350,CIVIL,7.63,"['C031', 'C008', 'C006']"
S351,Student 351,CIVIL,8.05,"['C020', 'C017', 'C008', 'C033', 'C031', 'C023']"
S352,Student 352,ME,8.98,"['C003', 'C025', 'C004', 'C013', 'C008', 'C017']"
S353,Student 353,ECE,8.49,"['C001', 'C013', 'C016', 'C012']"
S354,Student 354,EEE,7.67,"['C030', 'C035', 'C034']"
S355,Student 355,CIVIL,7.78,"['C006', 'C012', 'C031', 'C008', 'C033']"
S356,Student 356,CIVIL,7.0,['C031']
S357,Student 357,ECE,7.79,"['C016', 'C013', 'C015']"
S358,Student 358,CSE,7.57,"['C027', 'C012', 'C034', 'C003', 'C032']"
S359,Student 359,ISE,8.06,"['C033', 'C030', 'C023', 'C024', 'C027', 'C025', 'C034', 'C016']"
S360,Student 360,CIVIL,7.14,"['C008', 'C023']"
S361,Student 361,ME,8.22,"['C033', 'C030']"
S362,Student 362,ME,9.03,"['C003', 'C033', 'C004', 'C002', 'C015', 'C020']"
S363,Student 363,ME,7.71,"['C008', 'C018', 'C027']"
S364,Student 364,EEE,8.12,"['C017', 'C034']"
S365,Student 365,CSE,8.35,"['C034', 'C001', 'C025', 'C003', 'C027', 'C024', 'C032', 'C012']"
S366,Student 366,CSE,7.48,"['C024', 'C001', 'C031', 'C006', 'C034', 'C003', 'C027', 'C012']"
S367,Student 367,EEE,7.98,"['C006', 'C018', 'C004', 'C030', 'C017', 'C034']"
